Timestep,DHW Node 1,DHW Node 2,DHW Node 3,DHW Node 4,DHW Node 5,DHW Discharge Vol [L],DHW Discharge Energy [kWh],DHW Charge Energy [kWh],,SH Node 1,SH Node 2,SH Node 3,SH Node 4,SH Node 5,SH Discharge Vol [L],SH Discharge Energy [kWh],SH Charge Energy [kWh]
8959.0,52.08379355722021,52.0786820816774,50.24929060618502,44.13279328175839,25.939819832776582,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8960.0,52.01308335994133,52.01128276799842,50.201426675302734,44.03199688842916,26.044101034574968,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8961.0,51.945867665482375,51.94078546293681,50.15366571201253,43.931830262848784,26.143103781012254,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8962.0,51.875562419649,51.87377213954708,50.10600749480472,43.83228947027913,26.23709525438514,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8963.0,51.80873166390723,51.80367856671488,50.058451802646154,43.73337060056592,26.32632911288624,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8964.0,51.730324594201306,51.72881283387976,49.96240681528693,43.51479860972246,26.167985289293426,2.89,0.11747448611111112,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8965.0,51.66378367342353,51.658622813221854,49.91328317815832,43.413314916309766,26.251499655296442,0.11,0.004471347222222222,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8966.0,51.59416847932935,51.59253743781463,49.866142085437296,43.31701376587178,26.340004398809402,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8967.0,51.52826314351638,51.523131839133804,49.81910240529807,43.22131429726706,26.42402925208496,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8968.0,51.44322163270947,51.41114557670667,49.584081530765864,42.69612831123354,25.619923751718343,10.62,0.43168825,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8969.0,51.358474613386925,51.32793451070617,49.438950993593735,42.38435403466008,25.309317624960677,5.38,0.2186895277777778,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8970.0,51.274484310236396,51.26051318573884,49.34135354892239,42.18238550266166,25.22824170365615,2.75,0.11178368055555556,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8971.0,51.189887585746256,51.143920765140706,49.09901982473525,41.67616884966176,24.575530796723477,10.25,0.41664826388888887,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8972.0,51.10628515151742,51.07472675295735,48.997328319604115,41.47407491919766,24.53352393353012,2.86,0.11625502777777777,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8973.0,51.024128654412635,51.023475324322206,48.94937327554702,41.384246644209064,24.698416176070403,0.14,0.005690805555555556,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8974.0,50.95606813580561,50.951693286639866,48.881483600296406,41.2553147272581,24.778677890497637,1.14,0.04633941666666666,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8975.0,50.88564661727346,50.884596779830595,48.81921312826814,41.13875122239473,24.87582242751943,0.86,0.034957805555555554,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8976.0,50.822251162611586,50.81674317421218,48.774425660845765,41.05666136275679,25.033960534600098,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8977.0,50.754582413862764,50.75353858875204,48.72973454275349,40.975084393951576,25.184094083575193,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8978.0,50.69155001972107,50.68607357511518,48.68513956671919,40.89401711147846,25.32662824528966,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8979.0,50.624268804293834,50.623230957083095,48.64064052591666,40.81345633085829,25.461947681846894,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
