Timestep,Combined Electrical Input [kWh],DHW Electrical Input [kWh],SH Electrical Input [kWh],Combined Thermal Charge [kWhth],DHW Thermal Charge [kWhth],SH Thermal Charge [kWhth],DHW SOC [kWhth],SH SOC [kWhth],PV Generation [kWh],Net Wind Generation [kWh],PV Used [kWh],Wind Used [kWh],Grid Used [kWh],Electricity Cost [£],PV Cost [£],Wind Cost [£],Grid Cost [£]
3754.0,0.0,0.0,0.0,0.0,0.0,0.0,20.41407204664962,10.758827494391033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3755.0,0.0,0.0,0.0,0.0,0.0,0.0,20.385022733904364,10.648362318128896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756.0,0.0,0.0,0.0,0.0,0.0,0.0,20.35556824141269,9.705498524550691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3757.0,0.0,0.0,0.0,0.0,0.0,0.0,20.32231979124432,8.784931335685824,0.00165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3758.0,0.0,0.0,0.0,0.0,0.0,0.0,20.28378216871084,4.436756404578085,0.104286805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3759.0,3.7777777777777777,0.0,3.7777777777777777,8.5,0.0,8.5,20.255076160153415,11.049225775662459,0.240399994,0.0,0.240399994,0.0,3.5373777837777776,1.2759321666086445,0.0,0.0,1.2759321666086445
3760.0,3.7777777777777777,0.0,3.7777777777777777,8.5,0.0,8.5,19.84779655394953,18.157155623071567,1.710159865,0.0,1.710159865,0.0,2.0676179127777776,0.7457897811389445,0.0,0.0,0.7457897811389445
3761.0,2.8225806451612905,2.8225806451612905,0.0,7.0,7.0,0.0,27.3081871024423,16.406138369908092,2.16325,0.0,2.16325,0.0,0.6593306451612904,0.23782056370967744,0.0,0.0,0.23782056370967744
3762.0,2.8225806451612905,2.8225806451612905,0.0,7.0,7.0,0.0,29.443795403383167,15.60801463534264,2.23294738,0.0,2.23294738,0.0,0.5896332651612903,0.21268071874367744,0.0,0.0,0.21268071874367744
3763.0,3.8636363636363633,0.0,3.8636363636363633,8.5,0.0,8.5,29.354029105664814,24.24978758414945,2.912850098,0.0,2.912850098,0.0,0.9507862656363635,0.34294860601503635,0.0,0.0,0.34294860601503635
3764.0,3.8636363636363633,0.0,3.8636363636363633,8.5,0.0,8.5,29.188235458737473,29.088933153150265,2.638116951,0.0,2.638116951,0.0,1.225519412636363,0.4420448521379362,0.0,0.0,0.4420448521379362
3765.0,0.0,0.0,0.0,0.0,0.0,0.0,29.102202096099,28.67194033625321,3.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3766.0,0.0,0.0,0.0,0.0,0.0,0.0,28.979144041288677,28.455914790814084,2.457350565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3767.0,0.0,0.0,0.0,0.0,0.0,0.0,28.921692635367197,28.296853322743708,3.802149902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3768.0,0.0,0.0,0.0,0.0,0.0,0.0,28.83100579635939,28.13674624274423,2.661346396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3769.0,0.0,0.0,0.0,0.0,0.0,0.0,28.69113207183318,27.982676063166767,2.30675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3770.0,0.0,0.0,0.0,0.0,0.0,0.0,28.555084570488194,27.700992559687883,0.850049161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3771.0,0.0,0.0,0.0,0.0,0.0,0.0,28.476462653187024,27.148200033060885,0.642950012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3772.0,0.0,0.0,0.0,0.0,0.0,0.0,28.367822278880407,26.813227394367267,0.70552042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3773.0,0.0,0.0,0.0,0.0,0.0,0.0,28.264863751801737,26.64070895599392,0.499149994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3774.0,0.0,0.0,0.0,0.0,0.0,0.0,28.172628478970545,26.470977034986525,0.393408475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3775.0,0.0,0.0,0.0,0.0,0.0,0.0,28.107937108885686,26.297271775437874,0.242300003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3776.0,0.0,0.0,0.0,0.0,0.0,0.0,21.83046581826703,26.042279293532726,0.249780139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3777.0,0.0,0.0,0.0,0.0,0.0,0.0,21.78456862732341,25.87057302463272,0.237050003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3778.0,0.0,0.0,0.0,0.0,0.0,0.0,21.742544480185945,25.515348999611856,0.087797084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3779.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7047726416085,25.341424624564876,0.052299999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3780.0,0.0,0.0,0.0,0.0,0.0,0.0,21.648619171665974,25.107968520293532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3781.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54760469595584,24.932718467377118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3782.0,0.0,0.0,0.0,0.0,0.0,0.0,21.401571443605633,24.640843165078792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3783.0,0.0,0.0,0.0,0.0,0.0,0.0,21.35823776150221,24.468097519466294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3784.0,0.0,0.0,0.0,0.0,0.0,0.0,21.302504886727135,23.97615323686258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3785.0,0.0,0.0,0.0,0.0,0.0,0.0,21.227757708074147,23.28469306483908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3786.0,0.0,0.0,0.0,0.0,0.0,0.0,21.18192730524008,22.623423135982218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3787.0,0.0,0.0,0.0,0.0,0.0,0.0,21.143813931809138,21.8822036878301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3788.0,0.0,0.0,0.0,0.0,0.0,0.0,20.863009606046944,17.841290544276905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3789.0,0.0,0.0,0.0,0.0,0.0,0.0,20.541736977548034,17.707066833842052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
